unit_id,seed,status,total_area,usable_area,corridor_area,score,area_score,room_quality_score,circulation_score,layout_score,compliance_score,failures,warnings
A000,0,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A001,1,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A002,2,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A003,3,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A004,4,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A005,5,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A006,6,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A007,7,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A008,8,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A009,9,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A010,10,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A011,11,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A012,12,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A013,13,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A014,14,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A015,15,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A016,16,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A017,17,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A018,18,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
A019,19,valid,96.0,96.0,0.0,0.9521,1.0,0.8678,0.9143,1.0,1.0,,
